commit_hour,day_of_week,is_weekend,is_night_commit,lines_added,lines_deleted,files_changed,test_files_changed,num_methods,avg_complexity,is_buggy,language_group,time_period,confidence,churn_ratio,test_ratio,complexity_per_file,prior_bugs_author
10,5,1,0,8,1,2,1,2,2.0,0,Python,2018-2020,1.0,4.0,0.33,0.67,2
21,6,1,0,747,253,6,1,25,8.28,0,Python,2018-2020,1.0,2.94,0.14,1.18,2
14,0,0,0,20,20,8,2,13,13.85,1,Python,2018-2020,0.667,0.95,0.22,1.54,0
14,1,0,0,747,88,9,1,26,6.42,1,Python,2018-2020,0.091,8.39,0.1,0.64,2
17,2,0,0,1386,794,42,0,17,6.76,0,Python,2018-2020,1.0,1.74,0.0,0.16,3
18,4,0,0,48494,36,26,0,3,5.67,0,Python,2018-2020,1.0,1310.65,0.0,0.21,3
13,5,1,0,21,7,2,1,3,8.0,0,Python,2018-2020,1.0,2.62,0.33,2.67,3
13,5,1,0,5,5,5,0,0,0.0,0,Python,2018-2020,1.0,0.83,0.0,0.0,1
14,5,1,0,49,20,2,0,6,7.0,0,Python,2018-2020,1.0,2.33,0.0,2.33,3
15,0,0,0,2857,20213,43,0,3,4.33,0,Python,2018-2020,1.0,0.14,0.0,0.1,3
7,1,0,0,161,123,81,1,23,4.0,0,Python,2018-2020,1.0,1.3,0.01,0.05,3
7,1,0,0,7,4,2,1,3,18.67,0,Python,2018-2020,1.0,1.4,0.33,6.22,3
9,1,0,0,8,1,1,0,5,11.4,0,Python,2018-2020,1.0,4.0,0.0,5.7,3
9,1,0,0,8,7,1,0,0,0.0,0,Python,2018-2020,1.0,1.0,0.0,0.0,3
10,1,0,0,2,2,1,0,0,0.0,0,Python,2018-2020,1.0,0.67,0.0,0.0,3
10,1,0,0,6,3,2,0,0,0.0,0,Python,2018-2020,1.0,1.5,0.0,0.0,3
14,1,0,0,2,2,2,0,0,0.0,0,Python,2018-2020,1.0,0.67,0.0,0.0,3
19,2,0,0,10,0,3,0,0,0.0,0,Python,2018-2020,1.0,10.0,0.0,0.0,3
19,4,0,0,3,1,1,0,1,21.0,0,Python,2018-2020,1.0,1.5,0.0,10.5,0
18,0,0,0,46,10,3,1,2,8.0,0,Python,2018-2020,1.0,4.18,0.25,2.0,3
18,0,0,0,16,35,1,1,6,5.67,0,Python,2018-2020,1.0,0.44,0.5,2.84,1
18,0,0,0,15,5,1,0,2,8.0,0,Python,2018-2020,1.0,2.5,0.0,4.0,1
